Voucher_No,Year,Festival,Category,Amount,Vendor_Name,Description,Payment_Mode,Date
EXP-2026-201,2026,Ganeshotsav,Idol,5001,Bappa Kalakendra,Advance,Cash,15-08-2026
EXP-2026-202,2026,Ganeshotsav,Mandap & Stage Setup,200,Mandap Pooja,Mandap Pooja,Cash,15-08-2026
EXP-2026-203,2026,Ganeshotsav,Decoration,3900,Crawford Market local Vendors,Decoration setup material (Mumbai),Cash,21-08-2026
EXP-2026-204,2026,Ganeshotsav,Mandap & Stage Setup,10000,Sanjay Bhosale,Decorator - Advance,Cash,21-08-2026
EXP-2026-205,2026,Ganeshotsav,Mandap & Stage Setup,200,Saroda Sweeper,Stage Cleaning,Cash,21-08-2026
EXP-2026-206,2026,Ganeshotsav,Decoration,6800,Carpentry,Wodden Patti for the frames & Delivery,Cash,21-08-2026
EXP-2026-207,2026,Ganeshotsav,Decoration,275,Hardware Vendor,"Hardware material like hacksaw, blades, nails, etc",Cash,21-08-2026
EXP-2026-208,2026,Ganeshotsav,Decoration,2760,Ajay Lalchand Makhija,Cardboard for making the decoration pillars and other items,UPI,21-08-2026
EXP-2026-209,2026,Ganeshotsav,Decoration,48,Kailash Novelty,Stapler Pin,UPI,23-08-2026
EXP-2026-210,2026,Ganeshotsav,Decoration,250,Tulsi Hardware,1.5 Kg Fevicol,UPI,23-08-2026
EXP-2026-211,2026,Ganeshotsav,Decoration,80,Tulsi Hardware,Paid for Sutli,Cash,23-08-2026
EXP-2026-212,2026,Ganeshotsav,Decoration,250,Prince Stationary,A-4 Papers for Decoration,UPI,25-08-2026
EXP-2026-213,2026,Ganeshotsav,Decoration,406,Porter for Cadboards,Cardboard for making the decoration pillars and other items,UPI,26-08-2026
EXP-2026-214,2026,Ganeshotsav,Decoration,1800,Ajay Lalchand Makhija,Cardboard for making the decoration pillars and other items,UPI,26-08-2026
EXP-2026-215,2026,Ganeshotsav,Mandap & Stage Setup,10000,Sanjay Bhosale,Decorator - Advance,Cash,27-08-2026
EXP-2026-216,2026,Ganeshotsav,Decoration,160,Jai Maharashtra Novelty,Fevicol,UPI,27-08-2026
EXP-2026-217,2026,Ganeshotsav,Decoration,250,Jai Maharashtra Novelty,A-4 Papers for Decoration,UPI,27-08-2026
EXP-2026-218,2026,Ganeshotsav,Decoration,80,Kailash Novelty,Stapler Pins,UPI,27-08-2026
EXP-2026-219,2026,Ganeshotsav,Decoration,2030,Neeta Novelty,Thermocol Cutouts for Decoration,Cash,02-09-2026
EXP-2026-220,2026,Ganeshotsav,Dahi Handi Festival,500,Pottery Vendor,5 Matkas for Dahi Handi,UPI,07-09-2026
EXP-2026-221,2026,Ganeshotsav,Dahi Handi Festival,600,Vicky Ram,30 Vada Pav,UPI,07-09-2026
EXP-2026-222,2026,Ganeshotsav,Dahi Handi Festival,70,Jaylaxmi Flower Shop,Flowers and Haar,UPI,07-09-2026
EXP-2026-223,2026,Ganeshotsav,Dahi Handi Festival,15,Rampratap Vishwakarma,Insulation tape for Electric connection,UPI,07-09-2026
EXP-2026-224,2026,Ganeshotsav,Dahi Handi Festival,90,Mahesh Super Market,Dahi for Dahi Handi,UPI,07-09-2026
EXP-2026-225,2026,Ganeshotsav,Dahi Handi Festival,10,Mahesh Super Market,Agarbatti for Pooja,UPI,07-09-2026
EXP-2026-226,2026,Ganeshotsav,Decoration,180,Ajay,"Red Paint, Terpentine and Brush for the Paat",Cash,07-09-2026
EXP-2026-227,2026,Ganeshotsav,Decoration,230,Shree Gajanan Book Centre and Stationary,A4 Paper Bundle,UPI,07-09-2026
EXP-2026-228,2026,Ganeshotsav,Decoration,150,Neeta Novelty,Thermocol for Decoration,UPI,07-09-2026
EXP-2026-229,2026,Ganeshotsav,Decoration,150,Kumbharwada,For Shadu mati,Cash,10-09-2026
EXP-2026-230,2026,Ganeshotsav,Decoration,320,Local Vendor,Ghanti for Decoration,UPI,10-09-2026
EXP-2026-231,2026,Ganeshotsav,Decoration,751,Roopam Hardware and Plywood,"Colour, Brush and Roller",UPI,10-09-2026
EXP-2026-232,2026,Ganeshotsav,Visarjan Arrangements,2000,Avachit Karbhari,Advance for Banjo,UPI,10-09-2026
EXP-2026-233,2026,Ganeshotsav,Decoration,295,DIY,Paid for Sprayer and Sponge,UPI,20-09-2026
EXP-2026-234,2026,Ganeshotsav,Decoration,18,Tulsi Hardware,Paid for 6 Elbow pipe,Cash,20-09-2026
EXP-2026-235,2026,Ganeshotsav,Conveyance,200,Ola Auto,Paid for Rickshaw for to and fro of the Speaker for repairing,Cash,20-09-2026
EXP-2026-236,2026,Ganeshotsav,Decoration,774,Rupam Hardware and Plywood,Paid for Colour,Cash,20-09-2026
EXP-2026-237,2026,Ganeshotsav,Lighting & Electrical,500,Swar Lahiri,Speaker Repairing Advance,Cash,20-09-2026
EXP-2026-238,2026,Ganeshotsav,Decoration,80,Kanchan Narayan lal Choudhary,Measuring tape,UPI,20-09-2026
EXP-2026-239,2026,Ganeshotsav,Decoration,100,Yogesh Chemist,Masking tape,UPI,20-09-2026
EXP-2026-240,2026,Ganeshotsav,Decoration,160,R K Electricals,Rice lights for Deep mala,UPI,20-09-2026
EXP-2026-241,2026,Ganeshotsav,Decoration,95,Shivshakti Hardware,Gold Colour,UPI,20-09-2026
EXP-2026-242,2026,Ganeshotsav,Decoration,60,Purnima Super Society,For Sponge,UPI,20-09-2026
EXP-2026-243,2026,Ganeshotsav,Decoration,300,Ritesh Enterprises,250ml Gold Paint,UPI,20-09-2026
EXP-2026-244,2026,Ganeshotsav,Decoration,2080,Kwality Tarpaulins,Red Carpet,UPI,20-09-2026
EXP-2026-245,2026,Ganeshotsav,Decoration,650,Bhawani Electricals Sales and Services,For RGB lights and wire,UPI,20-09-2026
EXP-2026-246,2026,Ganeshotsav,Puja & Prasad,50,Pooja Bhandar,Phool vaat and Normal vaat,UPI,20-09-2026
EXP-2026-247,2026,Ganeshotsav,Puja & Prasad,70,Local Vendor,Banana Day-1,UPI,20-09-2026
EXP-2026-248,2026,Ganeshotsav,Miscellaneous,200,Local Vendor,For Water bottles and Drone,UPI,20-09-2026
EXP-2026-249,2026,Ganeshotsav,Miscellaneous,15,Shivshakti Hardware,Washers,UPI,20-09-2026
EXP-2026-250,2026,Ganeshotsav,Puja & Prasad,440,Prashant Corner,Prasad for Day-1 (Modak),UPI,20-09-2026
EXP-2026-251,2026,Ganeshotsav,Puja & Prasad,40,Local Vendor,Dhoop,UPI,20-09-2026
EXP-2026-252,2026,Ganeshotsav,Puja & Prasad,199,Purnima,Ghee,UPI,20-09-2026
EXP-2026-253,2026,Ganeshotsav,Miscellaneous,164,Patels R-Mart,Duster and Napkins,UPI,20-09-2026
EXP-2026-254,2026,Ganeshotsav,Idol,22000,Bappa Kala Kendra,Balance Amount of Idol,Cash,20-09-2026
EXP-2026-255,2026,Ganeshotsav,Idol,501,Bappa Kala Kendra,Tip paid on Ganpati paat,Cash,20-09-2026
EXP-2026-256,2026,Ganeshotsav,Dakshina,1001,Rohit Kulkarni,Paid Dakshina for Ganesh Sthapna Pooja,Cash,20-09-2026
EXP-2026-257,2026,Ganeshotsav,Miscellaneous,308,Prince Digital,Paid for Printout,UPI,20-09-2026
EXP-2026-258,2026,Ganeshotsav,Puja & Prasad,80,Local Vendor,Paid for Tender Coconut for Pooja,UPI,20-09-2026
EXP-2026-259,2026,Ganeshotsav,Puja & Prasad,60,Local Vendor,Khada Dhoop,UPI,20-09-2026
EXP-2026-260,2026,Ganeshotsav,Puja & Prasad,30,Purnima Super Society,Paid for half Kg Rice,UPI,20-09-2026
EXP-2026-261,2026,Ganeshotsav,Puja & Prasad,100,Local Vendor,Banana Prasad for Day-1 Evening,UPI,20-09-2026
EXP-2026-262,2026,Ganeshotsav,Prize & Cultural Events,50,Ganesh Novelty,Housie Tickets,UPI,20-09-2026
EXP-2026-263,2026,Ganeshotsav,Puja & Prasad,698,Anant Halwai,Prasad (Modak) for Day-2 (Evening),UPI,20-09-2026
EXP-2026-264,2026,Ganeshotsav,Puja & Prasad,450,Jitu Flower,For Everyday Haar (Big + Small),UPI,20-09-2026
EXP-2026-265,2026,Ganeshotsav,Puja & Prasad,120,Local Vendor,Banana for daily prasad,UPI,20-09-2026
EXP-2026-266,2026,Ganeshotsav,Prize & Cultural Events,125,Novelty,Drawing Sheet and Project Paper,Cash,20-09-2026
EXP-2026-267,2026,Ganeshotsav,Puja & Prasad,300,Ramsaran Flower,Big daily haar,UPI,20-09-2026
EXP-2026-268,2026,Ganeshotsav,Puja & Prasad,550,Jitendra Sahu,3 Small haar,UPI,20-09-2026
EXP-2026-269,2026,Ganeshotsav,Puja & Prasad,20,Gouri Kishor Dhedhania,Veni,UPI,20-09-2026
EXP-2026-270,2026,Ganeshotsav,Puja & Prasad,240,Faizan,"Keli Khamb, Tulsi, Durva, bel, Mango stem",UPI,20-09-2026
EXP-2026-271,2026,Ganeshotsav,Puja & Prasad,180,Tuljabhawani Fruit Shop,5 Fruits,UPI,20-09-2026
EXP-2026-272,2026,Ganeshotsav,Puja & Prasad,10,Ramnath Gupta,Thread,UPI,20-09-2026
EXP-2026-273,2026,Ganeshotsav,Puja & Prasad,150,Shree Swami Samarth Flowers,Mix Flowers,UPI,20-09-2026
EXP-2026-274,2026,Ganeshotsav,Puja & Prasad,300,Bikaner Sweet Shop,Boondi Prasad,UPI,20-09-2026
EXP-2026-275,2026,Ganeshotsav,Prize & Cultural Events,100,Kanta Ramesh Patni,Gift paper and seal-o-tape,UPI,20-09-2026
EXP-2026-276,2026,Ganeshotsav,Dakshina,1500,Rohit Kulkarni,Dakshina for Satyanarayan Pooja,Cash,20-09-2026
EXP-2026-277,2026,Ganeshotsav,Miscellaneous,160,Bhavika Kishore Jeswani,Water Bottles,UPI,20-09-2026
EXP-2026-278,2026,Ganeshotsav,Prize & Cultural Events,1800,DS. Mills,Saree for Home Minister,Cash,20-09-2026
EXP-2026-279,2026,Ganeshotsav,Puja & Prasad,360,Bikaner Sweets Mart,Modak for Prasad,UPI,20-09-2026
EXP-2026-280,2026,Ganeshotsav,Prize & Cultural Events,159,Blinkit,Gift Paper,Cash,20-09-2026
EXP-2026-281,2026,Ganeshotsav,Prize & Cultural Events,161,Blinkit,Gift Paper,Cash,20-09-2026
EXP-2026-282,2026,Ganeshotsav,Decoration,40,Tulsi Hardware,Brush for Decoration,UPI,20-09-2026
EXP-2026-283,2026,Ganeshotsav,Puja & Prasad,1220,Pooja Bhandar,Pooja Saman For Agman (Part-1),UPI,20-09-2026
EXP-2026-284,2026,Ganeshotsav,Puja & Prasad,440,Pooja Bhandar,Pooja Saman for Aagman (Part-2),UPI,20-09-2026
EXP-2026-285,2026,Ganeshotsav,Puja & Prasad,60,Purnima,Gud Khobra for Pooja,UPI,20-09-2026
EXP-2026-286,2026,Ganeshotsav,Puja & Prasad,180,Local Vendor,5 Fruits for Aagman Pooja,UPI,20-09-2026
EXP-2026-287,2026,Ganeshotsav,Puja & Prasad,320,Local Vendor,4 Kg Flowers,UPI,20-09-2026
EXP-2026-288,2026,Ganeshotsav,Puja & Prasad,200,Local Vendors,Mix Phool for Aagman,UPI,20-09-2026
EXP-2026-289,2026,Ganeshotsav,Puja & Prasad,1000,Local Vendors,2 Big Haar (350 each) and 2 small Haar (150 each) for Aagman and next Day,UPI,20-09-2026
EXP-2026-290,2026,Ganeshotsav,Lighting & Electrical,1500,Swar Lahiri,Final Repairing payment of Speaker,UPI,20-09-2026
EXP-2026-291,2026,Ganeshotsav,Prize & Cultural Events,55,Local Vendor,Sports Equipment,UPI,20-09-2026
EXP-2026-292,2026,Ganeshotsav,Prize & Cultural Events,80,Tulsi Hardware,POP for Sports,UPI,20-09-2026
EXP-2026-293,2026,Ganeshotsav,Puja & Prasad,860,Local Vendor,Pooja Saman for Satyanarayan Pooja,UPI,20-09-2026
EXP-2026-294,2026,Ganeshotsav,Puja & Prasad,200,Local Vendor,Blouse Piece,UPI,20-09-2026
EXP-2026-295,2026,Ganeshotsav,Prize & Cultural Events,75,Local Vendor,Pen for Games,UPI,20-09-2026
EXP-2026-296,2026,Ganeshotsav,Puja & Prasad,55,Purnima,Rice and Wheat for Pooja,UPI,20-09-2026
EXP-2026-297,2026,Ganeshotsav,Prize & Cultural Events,270,Local Vendor,Home Minister Game Supplies,UPI,20-09-2026
EXP-2026-298,2026,Ganeshotsav,Prize & Cultural Events,5475,Dmart,Prizes for Competition,UPI,20-09-2026
EXP-2026-299,2026,Ganeshotsav,Prize & Cultural Events,350,Local Vendor,Chocolates for Kids,UPI,20-09-2026
EXP-2026-300,2026,Ganeshotsav,Prize & Cultural Events,2000,Victory,Trophies and Medals for Sports event,UPI,20-09-2026
EXP-2026-301,2026,Ganeshotsav,Prize & Cultural Events,1078,Dmart,Consolation Prize,UPI,20-09-2026
EXP-2026-302,2026,Ganeshotsav,Prize & Cultural Events,50,Local Vendor,Stickers for Gifts,UPI,20-09-2026
EXP-2026-303,2026,Ganeshotsav,Visarjan Arrangements,600,Local Vendor,Vada Pav after Visarjan,UPI,20-09-2026
EXP-2026-304,2026,Ganeshotsav,Visarjan Arrangements,3000,Tempo,Tempo Fare for both Agman and Visarjan,UPI,20-09-2026
EXP-2026-305,2026,Ganeshotsav,Security & Permissions,2500,Devdatta Pandey,Security Charges,Cash,20-09-2026
EXP-2026-306,2026,Ganeshotsav,Mandap & Stage Setup,500,Saroda,Sweeping charges of Mandap and Garden,Cash,20-09-2026
EXP-2026-307,2026,Ganeshotsav,Mandap & Stage Setup,22000,Sanjay Bhosale,Decorator final payment,Cash,21-09-2026
EXP-2026-308,2026,Ganeshotsav,Holi 2026 Expenses,1500,Dmart,Thandai Syrup,Cash,22-09-2026
EXP-2026-309,2026,Ganeshotsav,Holi 2026 Expenses,1200,Local Vendor,Wada Pav,Cash,22-09-2026
EXP-2026-310,2026,Ganeshotsav,Holi 2026 Expenses,2700,Local Vendor,"Colour, Foam, spray, etc",Cash,22-09-2026
EXP-2026-311,2026,Ganeshotsav,Holi 2026 Expenses,1500,Dmart,Milk for Thandai,Cash,22-09-2026
EXP-2026-312,2026,Ganeshotsav,Holi 2026 Expenses,800,Prashant Sode,Garden Cleaning,Cash,22-09-2026
EXP-2026-313,2026,Ganeshotsav,Holi 2026 Expenses,600,Sachin Lohar,Plumber for Repairing of Boring Coupling,Cash,22-09-2026
EXP-2026-314,2026,Ganeshotsav,Conveyance,500,Rickshaw and others,For daily commute work,Cash,22-09-2026
EXP-2026-315,2026,Ganeshotsav,Refreshments,500,Tea,Tea and others,Cash,22-09-2026
